Smiles,tanimoto_coefficient,Name,pKa,Center,Index,Source,Error
C[C@@](Cc1ccc(cc1)N(=O)=O)(CC(=O)[OH:19])C(=O)OC,0.5,1296,4.45,O,15,Moitessier/RBFmodel_Test,0.0
CC(C)N/C=[NH+]/c2ccc(c1cn(C)cn1)cc2,0.18333333333333332,5595,8.99,N,5,Moitessier,0.0
OCc2[nH]c1ccccc1[nH+]2,0.34375,605,5.4,N,10,Moitessier,0.0
CC(C[NH3+])/C(N)=N/O,0.3333333333333333,5933,9.15,N,3,Moitessier,0.0
CC[C@H]1CSC(=[NH+:7]1)C,0.20588235294117646,58_1,5.301,N,6,Moitessier/RBFmodel_Valid,0.0
[O-][N+](c(c1ccccc11)cc(C[NH+]2CCOCC2)c1O)=O,0.42,5025,3.0,O,19,Moitessier,0.0
[NH3+]c2ccc1CCCCc1c2,0.42857142857142855,259,5.185,N,0,Moitessier/RBFmodel_Train,0.015
O=S1(N=CNc2c1[nH]cn2)=O,0.21951219512195122,6629,5.59,N,4,Moitessier,0.0
[O-]P(C(c(cccc1)c1O)[NH2+]Cc1ccncc1)(O)=O,0.5625,6132,5.2,O,18,Moitessier,0.0
C[C@H]1C[C@@H]([C@H]2CCCC[C@H]2[NH2+:13]1)C(=O)OC,0.21052631578947367,525_1,9.9,N,10,Moitessier/RBFmodel_Test,0.0
CNCC(c1cccc(O)c1)O,0.375,2655,10.45,O,9,Moitessier,0.0
COc2ccc1C=C[NH+](C)C(O)c1c2,0.325,4458,2.15,N,8,Moitessier,0.0
N/C(CC([NH3+])c1ccccc1)=N\O,0.45161290322580644,500,8.0,N,4,Moitessier,0.0
N#C/C(/c1ccccc1)=C(\[O-])/O,0.34615384615384615,3816,8.61,O,11,Moitessier,0.0
CCC(C(C=C(C)O1)=O)C1=O,0.29411764705882354,3008,5.3,C,2,Moitessier,0.0
C[C@H]1C[NH2+][C@@H](C)C[NH2+]1,0.2222222222222222,7173,5.23,N,3,Moitessier,0.0
Oc(cc1c2ccccc2)nn1c1ccccc1,0.47058823529411764,2468,12.9,O,0,Moitessier,0.0
CCc1ccc(c2c1oc(c2CC)C)[OH:15],0.3111111111111111,1208_1,9.94,O,14,Moitessier/RBFmodel_Train,0.0
Cn2cc1ccccc1[nH+]2,0.37037037037037035,2843,2.13,N,9,Moitessier,0.0
COC(=O)C1=CCC[NH2+]C1,0.3142857142857143,1813,8.7,N,8,Moitessier,0.0
Cc2[nH+]nc1CCCCc1c2C,0.2,3999,5.41,N,2,Moitessier,0.0
[NH3+]c3ccc(c2ccc(/[NH+]=C/c1ccccc1O)cc2)cc3,0.40625,7097,4.75,N,0,Moitessier,0.0
CC(C)[NH2+]CCN,0.3448275862068966,2261,10.62,N,3,Moitessier,0.0
ON/C(=[NH+]/O)c1ccccc1,0.37037037037037035,3737,3.8,N,3,Moitessier,0.0
N#Cc4ccc3sc1ccccc1n(CCCC[NH+]2CCC(O)CC2)c3c4,0.5689655172413793,177_2,8.76,N,18,Moitessier,0.0
CCOc2ccc1[nH]c(CC)[nH+]c1c2,0.3409090909090909,5399,6.27,N,11,Moitessier,0.0
CCCCCCCP(=[OH+])(CCCCCCC)CCCCCCC,0.41935483870967744,1339,4.65,O,8,Moitessier,0.0
CC(C)(C(N1)=O)SC1=O,0.32,2820,6.64,N,4,Moitessier,0.0
C[C@H](CO)Nc1c2cc(c(=O)[nH:22]c2nc(n1)SCc3cccc(c3F)F)C#N,0.2087912087912088,783_1,7.9,N,11,Moitessier/RBFmodel_Train,0.0
C/C=C/1C[NH+]2CC[C@]35C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc4ccccc45,0.2153846153846154,810,7.46,N,4,Moitessier,0.0
Oc2ccc1[nH+]ccnc1c2,0.5172413793103449,3631,1.4,N,5,Moitessier,0.0
COc3ccc(c2[nH]c1cccnc1[nH+]2)c(OC)c3,0.6222222222222222,445,4.63,N,14,Moitessier,0.0
OC(c1ccc[nH]1)=O,0.39285714285714285,4634,4.22,O,0,Moitessier,0.0
CCn3cc(C(=O)O)c(=O)c2cc(F)c([NH+:14]1CC[NH2+]CC1)nc23,0.6491228070175439,717_1,5.05,N,15,Moitessier,0.0
OC(C(C(O)=O)c(cc1)ccc1c1ccccc1)C1CCCCC1,0.34210526315789475,3165,4.19,O,4,Moitessier,0.0
[O-][N+](=O)c1ccccc1[B-](O)(O)[OH2+],0.45454545454545453,4132,8.5,O,12,Moitessier,0.0
CC(C)C[C@@H](c1ccc(cc1)Cl)[NH3+:12],0.39285714285714285,396_1,8.47,N,12,Moitessier/RBFmodel_Train,0.0
Cc2[nH]c1cccnc1[nH+]2,0.5128205128205128,4579,4.6,N,9,Moitessier,0.0
Cc1nnc(NS(c(cc2)ccc2N)(=O)=O)s1,0.5365853658536586,4669,5.29,N,5,Moitessier,0.0
N#CC(Cc(cc1)ccc1Cl)C#N,0.53125,7162,11.49,C,2,Moitessier,0.0
