Smiles,tanimoto_coefficient,Name,pKa,Center,Index,Source,Error
CC(C)C[C@@H](c1ccc(cc1)Cl)[NH3+:12],0.39285714285714285,396_1,8.47,N,12,Moitessier/RBFmodel_Train,0.0
Cc3c1ccncc1cc4c2c[nH+]ccc2[nH]c34,0.2909090909090909,6206,7.5,N,12,Moitessier,0.0
C[NH+]3CC[NH+](C(c1ccccc1)c2ccc(Cl)cc2)CC3,0.34210526315789475,4966,2.43,N,4,Moitessier,0.0
CN3C(C(=O)Nc1cccc[nH+:22]1)=C([O-])c2ccccc2S3(=O)=O,0.26785714285714285,722_1,5.28,N,11,Moitessier,0.0
CCC(C(C(O)=O)c(cc1)ccc1c1ccccc1)O,0.3888888888888889,7312,4.16,O,5,Moitessier,0.0
OC(c(o1)ccc1I)=O,0.3793103448275862,4780,2.94,O,0,Moitessier,0.0
CC([C@H]1[C@H](CC(O)=O)[C@@H](C(O)=O)[NH2+]C1)O,0.2857142857142857,5750,2.94,O,10,Moitessier,0.0
C[NH+]1CCCC1c2cccnc2,0.29545454545454547,1037,8.08,N,1,Moitessier/JensenSwainOlsen,0.02
CCO[P@@](=O)(C)SCC[NH+:8](C)C,0.23076923076923078,359_1,7.77,N,9,Moitessier/RBFmodel_Train,0.0
C=CC[NH2+]CC=C,0.16129032258064516,154,9.29,N,3,Moitessier/RBFmodel_Train,0.0
Nc2[nH+]nc(c1ccccc1)s2,0.3055555555555556,4427,2.9,N,2,Moitessier,0.0
Cc([n+]1c2SCC1)ccc2O,0.2702702702702703,6858,4.7,O,10,Moitessier,0.0
Cn2c(=O)c1[nH]c[nH+]c1n(C)c2=O,0.2727272727272727,3719,3.5,N,7,Moitessier,0.0
Cc(cc1)cc2c1N=C(C)C=C(C)N2,0.3055555555555556,3936,5.8,N,13,Moitessier,0.0
C[C@@H]2O[C@H](n1ccc(N)nc1=O)CC[C@H]2O[C@H]3O[C@H](C)[C@@H]([NH+](C)C)[C@H](O)[C@H]3O,0.21621621621621623,2240,7.0,N,21,Moitessier,0.0
COCC[NH2+:7]CCOC,0.3157894736842105,83_1,9.51,N,4,Moitessier/RBFmodel_Train,0.0
OC(c1ccncc1)n1c[nH+]cc1,0.3235294117647059,3856,7.24,O,0,Moitessier,0.0
CCC(C)NC(C#N)=C(C#N)C#N,0.2857142857142857,1343,6.35,N,4,Moitessier,0.0
NCCSCC[NH3+],0.2222222222222222,4206,9.64,N,6,Moitessier,0.0
CC(C)=NNS(C)(=O)=O,0.25,4542,8.5,N,4,Moitessier,0.0
C[C@@H](C(=O)[OH:11])Oc1cc(c(cc1Cl)Cl)Cl,0.3142857142857143,1197_1,2.84,O,4,Moitessier/RBFmodel_Train,0.0
c1ccc2c(c1)ccc3c2c(=O)cc(o3)c4cccc(c4)[NH3+:20],0.3877551020408163,691_1,3.23,N,21,Moitessier/RBFmodel_Train,0.0
CC[NH2+]CCN,0.3333333333333333,6322,10.56,N,2,Moitessier,0.0
CCOC(=O)C1CC2CC[NH+]1CC2,0.30303030303030304,4223,8.8,N,10,Moitessier,0.0
COc1ccc(/[NH+]=C/N(C)C)cc1,0.36363636363636365,5804,9.35,N,6,Moitessier,0.0
O=C([O-])C[NH+](CC(=O)[O-])Cc2[nH]c1ccccc1[nH+]2,0.2826086956521739,1301,3.95,N,18,Moitessier,0.0
Cc3cc(c1ccccc1)n(c2ccc(C(=O)O)cc2)[nH+]3,0.3783783783783784,4220,1.59,N,20,Moitessier,0.0
O=C(C[C@H]1C(N2)=O)N[C@@H]1C2=O,0.1875,140,8.15,N,5,Moitessier,0.0
O=C(CCl)CCl,0.3157894736842105,7415,12.88,C,2,Moitessier,0.0
C[NH+](C)Cc(c(C([O-])=O)c(C[NH+](C)C)c(O)c1O)c1O,0.2564102564102564,3245,6.95,O,15,Moitessier,0.0
C[NH+](C)CCOCC[NH+](C)C,0.38461538461538464,1954,8.21,N,1,Moitessier,0.0
COCC(C1C=CC2C1)=C2C(O)=O,0.2631578947368421,6054,4.59,O,11,Moitessier,0.0
OC([C@@]12O[C@@H]1CC[NH2+]C2)=O,0.22580645161290322,3981,2.63,O,0,Moitessier,0.0
O[C@H]([C@H]([C@H](C(O)=O)O[C@@H]1Oc2cc3ccccc3[nH+]c2)O)[C@@H]1O,0.3018867924528302,6525,3.0,O,5,Moitessier,0.0
CN(C1=O)C([O-])=Nc2c1[nH]cn2,0.3783783783783784,6588,11.9,N,9,Moitessier,0.0
c2ccc(N1CC[NH2+]CC1)cc2,0.2647058823529412,21_2,9.0,N,7,Moitessier,0.0
OC(c1cccs1)=O,0.375,6465,3.46,O,0,Moitessier,0.0
CC(/C=N/O)=O,0.35,4707,8.3,O,4,Moitessier,0.0
Cc1cnc3c(c1)c(C)c(C)c2ccc[nH+]c23,0.36585365853658536,2528,5.34,N,15,Moitessier,0.0
Cc1[nH+]c(C(O)=O)c(C([O-])=O)[nH]1,0.2857142857142857,4143,4.25,O,5,Moitessier,0.0
C/C(=N\NC(=O)Nc1cc(cc(c1)F)F)/c2c(cccn2)C(=O)[OH:22],0.25925925925925924,1336,3.18,O,23,Moitessier/RBFmodel_Test,0.0
O=C([O-])C/[NH+]=C/1CCCC1,0.2962962962962963,4503,8.72,N,4,Moitessier,0.0
CC(=O)c2cc(F)cc(C(=O)Nc1nnn[n-]1)c2O,0.22448979591836735,3218,7.1,O,18,Moitessier,0.0
FC1C[NH2+]CCC1Cc2ccccc2,0.29545454545454547,41_2,9.05,N,3,Moitessier,0.0
C[NH+](C)CCO,0.2962962962962963,3494,9.11,N,1,Moitessier/RBFmodel_Train,0.11
OC(Cn(cc1)c2c1cccc2)=O,0.35135135135135137,2864,3.4,O,0,Moitessier,0.0
CCCCN(CCCC)c2[nH+]nc(c1ccccc1)cc2C,0.38596491228070173,2460,4.88,N,10,Moitessier,0.0
c1cc(ccc1C#N)C(=O)N2CCC3(CC2)Nc4c(ccc(c4C(=[NH+:22]3)N)F)F,0.2962962962962963,804_1,8.15,N,24,Moitessier/RBFmodel_Test,0.0
Nc3cc(/C=C/c1ccccc1)[nH+]c(/C=C/c2ccccc2)c3,0.34375,6509,8.6,N,12,Moitessier,0.0
CCCC(C)C(CC)(C(NC(N1)=O)=O)C1=O,0.28125,3488,8.17,N,9,Moitessier,0.0
CC(C)SC(=[NH2+])c1ccccc1,0.3333333333333333,6761,8.04,N,5,Moitessier,0.0
C[NH+](CCO)c1ccccc1,0.35714285714285715,1798,4.89,N,1,Moitessier,0.0
CC(C)(S)C(C(=O)[O-])n1cc[nH+]c1Cc2ccccc2,0.32653061224489793,2084,6.99,N,11,Moitessier,0.0
c1ccc(cc1)[C@H](C[NH3+:15])Oc2cc(ccc2Cl)Cl,0.3333333333333333,614_1,8.5,N,8,Moitessier/RBFmodel_Train,0.0
Nc1cc[nH+]c2c1ncn2CCOCP(=O)(O)[O-],0.21739130434782608,4067,5.52,N,4,Moitessier,0.0
Cc1nc(co1)C(=O)[OH:9],0.3333333333333333,982_1,3.59,O,8,Moitessier/RBFmodel_Test,0.0
Cn1cc(O)nc1N,0.30303030303030304,4249,13.4,O,4,Moitessier,0.0
CCOC(C(C1=O)=NNC(N(C)C(N2C)=O)=C1C2=O)=O,0.2708333333333333,6429,7.32,N,8,Moitessier,0.0
